UNO_515122C0;2015/02/11 13:50:47;0;sampleID;MQ2;DHT22 Temp(C);DHT22 HR;MQ9;HCHO;Lowpulse;ratio;Concentration
UNO_515122C0;2015/02/11 13:51:19;1;1;0.12;23.20;32.60;0.11;1.35;171811;0.56;290.96
UNO_515122C0;2015/02/11 13:51:50;2;2;0.13;23.20;32.20;0.10;1.30;799143;2.58;1333.67
UNO_515122C0;2015/02/11 13:52:21;3;3;0.13;23.20;32.60;0.10;1.89;389016;1.28;663.41
UNO_515122C0;2015/02/11 13:52:52;4;4;0.13;23.30;32.70;0.11;1.30;88415;0.29;153.51
UNO_515122C0;2015/02/11 13:53:22;5;5;0.13;23.40;31.60;0.11;1.75;532635;1.77;913.07
UNO_515122C0;2015/02/11 13:53:54;6;6;0.13;23.40;32.30;0.11;1.33;904383;2.90;1505.53
UNO_515122C0;2015/02/11 13:54:25;7;7;0.12;23.50;32.30;0.11;1.84;499782;1.66;857.20
UNO_515122C0;2015/02/11 13:54:56;8;8;0.13;23.50;32.30;0.11;1.93;588533;1.93;1000.43
UNO_515122C0;2015/02/11 13:55:26;9;9;0.13;23.50;32.40;0.11;1.68;648665;2.16;1114.64
UNO_515122C0;2015/02/11 13:55:57;10;10;0.12;23.50;31.90;0.11;1.39;280423;0.92;474.69
UNO_515122C0;2015/02/11 13:56:29;11;11;0.12;23.40;32.30;0.10;1.82;494080;1.61;832.32
UNO_515122C0;2015/02/11 13:57:00;12;12;0.12;23.40;31.50;0.11;1.32;286146;0.92;478.71
UNO_515122C0;2015/02/11 13:57:31;13;13;0.13;23.40;31.90;0.11;1.33;484367;1.57;811.32
UNO_515122C0;2015/02/11 13:58:03;14;14;0.12;23.50;32.00;0.11;1.32;1134679;3.70;1929.29
UNO_515122C0;2015/02/11 13:58:33;15;15;0.12;23.50;31.30;0.11;2.07;668458;2.21;1142.56
UNO_515122C0;2015/02/11 13:59:04;16;16;0.12;23.50;31.30;0.11;1.41;1241068;4.13;2162.40
UNO_515122C0;2015/02/11 13:59:35;17;17;0.12;23.50;31.90;0.11;2.06;166440;0.54;281.07
UNO_515122C0;2015/02/11 14:00:07;18;18;0.12;23.50;31.70;0.12;1.36;854148;2.78;1442.94
UNO_515122C0;2015/02/11 14:00:38;19;19;0.12;23.50;31.00;0.11;1.31;285999;0.94;484.45
UNO_515122C0;2015/02/11 14:01:08;20;20;0.12;23.60;30.80;0.12;2.05;579636;1.92;991.63
UNO_515122C0;2015/02/11 14:01:39;21;21;0.12;23.60;30.70;0.11;1.43;677048;2.23;1154.32
UNO_515122C0;2015/02/11 14:02:10;22;22;0.12;23.60;30.70;0.11;1.37;197422;0.65;337.81
UNO_515122C0;2015/02/11 14:02:42;23;23;0.12;23.60;30.60;0.12;1.29;32185;0.10;54.56
UNO_515122C0;2015/02/11 14:03:13;24;24;0.12;23.70;30.60;0.11;2.01;312128;1.02;530.44
UNO_515122C0;2015/02/11 14:03:43;25;25;0.12;23.70;30.70;0.12;1.96;482894;1.60;826.90
UNO_515122C0;2015/02/11 14:04:15;26;26;0.12;23.70;30.60;0.11;1.80;539218;1.74;901.91
UNO_515122C0;2015/02/11 14:04:47;27;27;0.13;23.70;30.70;0.11;1.52;467206;1.50;777.05
UNO_515122C0;2015/02/11 14:05:17;28;28;0.12;23.70;30.90;0.11;1.77;391817;1.29;666.18
UNO_515122C0;2015/02/11 14:05:49;29;29;0.12;23.70;31.00;0.11;1.56;1392990;4.56;2395.21
UNO_515122C0;2015/02/11 14:06:20;30;30;0.12;23.80;30.80;0.11;1.38;237711;0.78;403.39
UNO_515122C0;2015/02/11 14:06:51;31;31;0.12;23.80;31.10;0.11;1.74;554594;1.81;934.69
UNO_515122C0;2015/02/11 14:07:22;32;32;0.12;23.80;30.70;0.11;1.45;364121;1.21;626.16
UNO_515122C0;2015/02/11 14:07:53;33;33;0.12;23.80;30.60;0.10;1.65;217420;0.70;362.68
UNO_515122C0;2015/02/11 14:08:24;34;34;0.12;23.90;30.70;0.11;1.36;535157;1.74;900.39
UNO_515122C0;2015/02/11 14:08:55;35;35;0.12;23.80;30.50;0.12;1.94;372709;1.23;637.14
UNO_515122C0;2015/02/11 14:09:27;36;36;0.12;23.80;30.40;0.10;2.03;373790;1.21;625.41
UNO_515122C0;2015/02/11 14:09:57;37;37;0.12;23.80;30.30;0.10;1.54;406543;1.35;699.50
UNO_515122C0;2015/02/11 14:10:28;38;38;0.12;23.90;30.40;0.10;1.55;209756;0.69;357.00
UNO_515122C0;2015/02/11 14:10:59;39;39;0.12;23.90;30.30;0.10;1.40;226402;0.75;390.01
UNO_515122C0;2015/02/11 14:11:30;40;40;0.12;23.80;30.30;0.10;1.90;154354;0.51;267.20
UNO_515122C0;2015/02/11 14:12:01;41;41;0.12;23.90;30.20;0.10;1.31;469764;1.52;787.67
UNO_515122C0;2015/02/11 14:12:32;42;42;0.12;23.90;30.30;0.10;1.81;1479866;4.86;2566.84
UNO_515122C0;2015/02/11 14:13:02;43;43;0.12;23.90;30.40;0.11;1.94;883209;2.94;1523.66
UNO_515122C0;2015/02/11 14:13:33;44;44;0.12;23.90;30.20;0.11;1.31;265010;0.87;450.32
UNO_515122C0;2015/02/11 14:14:04;45;45;0.12;23.90;30.30;0.10;2.03;187882;0.62;320.48
UNO_515122C0;2015/02/11 14:14:36;46;46;0.12;23.90;30.10;0.10;2.00;156299;0.51;264.38
UNO_515122C0;2015/02/11 14:15:07;47;47;0.12;23.90;30.10;0.12;1.34;255989;0.84;434.88
UNO_515122C0;2015/02/11 14:15:38;48;48;0.12;23.90;30.20;0.12;1.70;356284;1.17;606.25
UNO_515122C0;2015/02/11 14:16:09;49;49;0.12;23.90;30.10;0.11;1.42;107273;0.35;184.15
UNO_515122C0;2015/02/11 14:16:40;50;50;0.12;23.90;30.30;0.12;1.31;259483;0.85;440.74
UNO_515122C0;2015/02/11 14:17:11;51;51;0.12;23.80;30.10;0.11;2.03;433832;1.42;736.66
UNO_515122C0;2015/02/11 14:17:41;52;52;0.12;23.80;30.10;0.11;1.72;375300;1.24;642.71
UNO_515122C0;2015/02/11 14:18:12;53;53;0.12;23.70;30.10;0.10;1.99;261555;0.86;444.06
UNO_515122C0;2015/02/11 14:18:44;54;54;0.12;23.70;30.10;0.10;2.03;184150;0.60;310.99
UNO_515122C0;2015/02/11 14:19:15;55;55;0.12;23.70;30.20;0.12;1.31;162469;0.52;271.53
UNO_515122C0;2015/02/11 14:19:46;56;56;0.12;23.70;30.20;0.11;1.31;180979;0.59;307.55
UNO_515122C0;2015/02/11 14:20:17;57;57;0.12;23.70;30.10;0.11;1.87;439078;1.46;755.59
UNO_515122C0;2015/02/11 14:20:48;58;58;0.13;23.70;30.10;0.11;1.99;153812;0.51;264.87
UNO_515122C0;2015/02/11 14:21:19;59;59;0.12;23.60;31.50;0.11;1.91;965485;3.14;1629.95
UNO_515122C0;2015/02/11 14:21:50;60;60;0.12;23.70;30.50;0.10;1.97;851586;2.76;1429.93
UNO_515122C0;2015/02/11 14:22:21;61;61;0.12;23.70;30.70;0.12;1.30;691120;2.30;1188.42
UNO_515122C0;2015/02/11 14:22:52;62;62;0.11;23.70;30.50;0.11;1.84;277883;0.91;472.45
UNO_515122C0;2015/02/11 14:23:24;63;63;0.12;23.80;30.20;0.10;1.86;512698;1.65;854.85
UNO_515122C0;2015/02/11 14:23:55;64;64;0.12;23.80;30.40;0.10;1.77;779826;2.53;1309.16
UNO_515122C0;2015/02/11 14:24:26;65;65;0.11;23.90;31.00;0.10;1.66;197040;0.64;334.69
UNO_515122C0;2015/02/11 14:24:58;66;66;0.11;23.90;29.80;0.10;1.35;159122;0.51;267.05
UNO_515122C0;2015/02/11 14:25:29;67;67;0.11;23.80;29.70;0.10;2.10;57674;0.19;96.96
UNO_515122C0;2015/02/11 14:26:00;68;68;0.11;23.70;29.80;0.11;1.32;30768;0.10;53.83
UNO_515122C0;2015/02/11 14:26:31;69;69;0.11;23.70;29.50;0.10;1.29;0;0.00;0.62
UNO_515122C0;2015/02/11 14:27:02;70;70;0.11;23.80;29.90;0.11;1.39;145737;0.48;250.25
UNO_515122C0;2015/02/11 14:27:33;71;71;0.11;23.80;29.80;0.10;2.12;80434;0.27;138.67
UNO_515122C0;2015/02/11 14:28:05;72;72;0.11;23.80;29.50;0.10;2.02;0;0.00;0.62
UNO_515122C0;2015/02/11 14:28:36;73;73;0.11;23.90;29.50;0.10;2.02;110584;0.36;186.50
UNO_515122C0;2015/02/11 14:29:07;74;74;0.11;23.90;29.40;0.10;2.10;3598;0.01;6.78
UNO_515122C0;2015/02/11 14:29:38;75;75;0.11;23.90;29.30;0.12;2.05;106679;0.35;184.13
UNO_515122C0;2015/02/11 14:30:09;76;76;0.11;23.90;29.30;0.10;1.63;85310;0.28;144.59
UNO_515122C0;2015/02/11 14:30:40;77;77;0.11;23.90;29.20;0.11;1.33;85757;0.28;146.39
UNO_515122C0;2015/02/11 14:31:11;78;78;0.11;23.90;29.20;0.11;1.73;0;0.00;0.62
