DYLOS_dylos0;2015/02/27 00:00:15;4825;510;4
DYLOS_dylos0;2015/02/27 00:01:14;4826;462;5
DYLOS_dylos0;2015/02/27 00:02:13;4827;491;8
DYLOS_dylos0;2015/02/27 00:03:13;4828;506;9
DYLOS_dylos0;2015/02/27 00:04:12;4829;507;7
DYLOS_dylos0;2015/02/27 00:05:11;4830;492;10
DYLOS_dylos0;2015/02/27 00:06:10;4831;512;9
DYLOS_dylos0;2015/02/27 00:07:09;4832;514;8
DYLOS_dylos0;2015/02/27 00:08:08;4833;511;9
DYLOS_dylos0;2015/02/27 00:09:07;4834;548;8
DYLOS_dylos0;2015/02/27 00:10:06;4835;553;10
DYLOS_dylos0;2015/02/27 00:11:06;4836;561;9
DYLOS_dylos0;2015/02/27 00:12:05;4837;576;8
DYLOS_dylos0;2015/02/27 00:13:04;4838;559;10
DYLOS_dylos0;2015/02/27 00:14:03;4839;617;8
DYLOS_dylos0;2015/02/27 00:15:02;4840;610;11
DYLOS_dylos0;2015/02/27 00:16:01;4841;609;7
DYLOS_dylos0;2015/02/27 00:17:00;4842;623;9
DYLOS_dylos0;2015/02/27 00:17:59;4843;573;10
DYLOS_dylos0;2015/02/27 00:18:59;4844;605;10
DYLOS_dylos0;2015/02/27 00:19:58;4845;628;13
DYLOS_dylos0;2015/02/27 00:20:57;4846;632;12
DYLOS_dylos0;2015/02/27 00:21:56;4847;628;11
DYLOS_dylos0;2015/02/27 00:22:55;4848;640;13
DYLOS_dylos0;2015/02/27 00:23:54;4849;625;10
DYLOS_dylos0;2015/02/27 00:24:53;4850;636;11
DYLOS_dylos0;2015/02/27 00:25:52;4851;630;15
DYLOS_dylos0;2015/02/27 00:26:52;4852;675;13
DYLOS_dylos0;2015/02/27 00:27:51;4853;667;12
DYLOS_dylos0;2015/02/27 00:28:50;4854;640;12
DYLOS_dylos0;2015/02/27 00:29:49;4855;690;13
DYLOS_dylos0;2015/02/27 00:30:48;4856;679;11
DYLOS_dylos0;2015/02/27 00:31:47;4857;682;12
DYLOS_dylos0;2015/02/27 00:32:46;4858;669;15
DYLOS_dylos0;2015/02/27 00:33:45;4859;672;14
DYLOS_dylos0;2015/02/27 00:34:45;4860;700;15
DYLOS_dylos0;2015/02/27 00:35:44;4861;713;14
DYLOS_dylos0;2015/02/27 00:36:43;4862;681;16
DYLOS_dylos0;2015/02/27 00:37:42;4863;713;18
DYLOS_dylos0;2015/02/27 00:38:41;4864;705;14
DYLOS_dylos0;2015/02/27 00:39:40;4865;729;16
DYLOS_dylos0;2015/02/27 00:40:39;4866;744;15
DYLOS_dylos0;2015/02/27 00:41:39;4867;782;11
DYLOS_dylos0;2015/02/27 00:42:38;4868;775;16
DYLOS_dylos0;2015/02/27 00:43:37;4869;768;19
DYLOS_dylos0;2015/02/27 00:44:36;4870;757;20
DYLOS_dylos0;2015/02/27 00:45:35;4871;766;21
DYLOS_dylos0;2015/02/27 00:46:34;4872;754;16
DYLOS_dylos0;2015/02/27 00:47:33;4873;780;17
DYLOS_dylos0;2015/02/27 00:48:32;4874;795;17
DYLOS_dylos0;2015/02/27 00:49:32;4875;780;20
DYLOS_dylos0;2015/02/27 00:50:31;4876;790;18
DYLOS_dylos0;2015/02/27 00:51:30;4877;780;17
DYLOS_dylos0;2015/02/27 00:52:29;4878;790;18
DYLOS_dylos0;2015/02/27 00:53:28;4879;789;18
DYLOS_dylos0;2015/02/27 00:54:27;4880;789;20
DYLOS_dylos0;2015/02/27 00:55:26;4881;814;18
DYLOS_dylos0;2015/02/27 00:56:25;4882;800;15
DYLOS_dylos0;2015/02/27 00:57:25;4883;773;16
DYLOS_dylos0;2015/02/27 00:58:24;4884;798;15
DYLOS_dylos0;2015/02/27 00:59:23;4885;810;20
DYLOS_dylos0;2015/02/27 01:00:22;4886;821;20
DYLOS_dylos0;2015/02/27 01:01:21;4887;807;14
DYLOS_dylos0;2015/02/27 01:02:20;4888;840;19
DYLOS_dylos0;2015/02/27 01:03:19;4889;848;19
DYLOS_dylos0;2015/02/27 01:04:18;4890;840;12
DYLOS_dylos0;2015/02/27 01:05:18;4891;817;18
DYLOS_dylos0;2015/02/27 01:06:17;4892;796;15
DYLOS_dylos0;2015/02/27 01:07:16;4893;855;17
DYLOS_dylos0;2015/02/27 01:08:15;4894;855;17
DYLOS_dylos0;2015/02/27 01:09:14;4895;874;16
DYLOS_dylos0;2015/02/27 01:10:13;4896;868;15
DYLOS_dylos0;2015/02/27 01:11:12;4897;881;23
DYLOS_dylos0;2015/02/27 01:12:12;4898;890;19
DYLOS_dylos0;2015/02/27 01:13:11;4899;861;15
DYLOS_dylos0;2015/02/27 01:14:10;4900;856;19
DYLOS_dylos0;2015/02/27 01:15:09;4901;865;22
DYLOS_dylos0;2015/02/27 01:16:08;4902;826;15
DYLOS_dylos0;2015/02/27 01:17:07;4903;852;14
DYLOS_dylos0;2015/02/27 01:18:06;4904;859;17
DYLOS_dylos0;2015/02/27 01:19:05;4905;844;19
DYLOS_dylos0;2015/02/27 01:20:05;4906;848;18
DYLOS_dylos0;2015/02/27 01:21:04;4907;856;21
DYLOS_dylos0;2015/02/27 01:22:03;4908;855;16
DYLOS_dylos0;2015/02/27 01:23:02;4909;861;22
DYLOS_dylos0;2015/02/27 01:24:01;4910;854;19
DYLOS_dylos0;2015/02/27 01:25:00;4911;907;18
DYLOS_dylos0;2015/02/27 01:25:59;4912;887;17
DYLOS_dylos0;2015/02/27 01:26:58;4913;911;15
DYLOS_dylos0;2015/02/27 01:27:58;4914;904;15
